SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
338068,0,Cash loans,M,Y,Y,2,225000.0,755190.0,35122.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,0.018801,-12799,-207,-4906.0,-4906,16.0,1,1,1,1,1,0,Laborers,3.0,2,2,WEDNESDAY,8,0,0,0,0,1,1,Construction,0.3395710896916161,0.6512268532543403,0.4118485559242397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-533.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
237162,0,Revolving loans,M,Y,Y,0,292500.0,270000.0,13500.0,270000.0,Family,Commercial associate,Higher education,Single / not married,House / apartment,0.072508,-10825,-1112,-5286.0,-3489,26.0,1,1,0,1,0,1,,1.0,1,1,SATURDAY,17,0,0,0,0,0,0,Other,0.5385438135202698,0.7497540434341893,0.3572932680336494,0.3464,0.1482,0.9916,0.8844,0.184,0.4,0.1724,0.6667,0.7083,0.0,0.2782,0.3779,0.0193,0.0355,0.3529,0.1538,0.9916,0.8889,0.1857,0.4028,0.1724,0.6667,0.7083,0.0,0.3039,0.3938,0.0195,0.0376,0.3497,0.1482,0.9916,0.8859,0.1852,0.4,0.1724,0.6667,0.7083,0.0,0.283,0.3847,0.0194,0.0363,reg oper account,block of flats,0.2973,Panel,No,0.0,0.0,0.0,0.0,-583.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
287122,0,Cash loans,M,Y,Y,0,90000.0,229230.0,22801.5,202500.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.030755,-22611,365243,-3466.0,-4206,13.0,1,0,0,1,0,0,,2.0,2,2,FRIDAY,14,0,0,0,0,0,0,XNA,0.7911861877618068,0.7299071536677573,0.5797274227921155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,0.0,-1971.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
443082,0,Cash loans,F,N,Y,2,135000.0,454500.0,19255.5,454500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018801,-11362,-1146,-231.0,-3922,,1,1,1,1,0,0,Private service staff,4.0,2,2,THURSDAY,8,0,0,0,0,0,0,Services,,0.4451608052547408,0.7136313997323308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
207341,1,Cash loans,F,N,Y,0,121500.0,284400.0,13387.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.010032,-10773,-375,-4049.0,-3112,,1,1,0,1,0,0,Laborers,2.0,2,2,MONDAY,7,0,0,0,0,0,0,Business Entity Type 3,0.6260588548477886,0.6192805477384502,0.5919766183185521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
361027,0,Cash loans,M,N,N,1,225000.0,900000.0,31887.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.030755,-16039,-912,-10125.0,-3660,,1,1,0,1,0,0,,3.0,2,2,THURSDAY,9,0,0,0,0,1,1,Business Entity Type 2,0.7266404014014087,0.4191250608154444,0.1664055461839363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,4.0,1.0,-419.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,9.0
261005,0,Revolving loans,F,N,Y,0,157500.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.0072739999999999,-17014,-872,-5301.0,-559,,1,1,0,1,0,0,Sales staff,2.0,2,2,WEDNESDAY,16,0,0,0,0,0,0,Self-employed,0.5575067973462347,0.5573152523965761,,0.0165,0.0164,0.9752,0.66,0.0014,0.0,0.069,0.0417,0.0417,0.0071,0.0134,0.0123,0.0,0.0,0.0168,0.017,0.9752,0.6733,0.0014,0.0,0.069,0.0417,0.0417,0.0073,0.0147,0.0128,0.0,0.0,0.0167,0.0164,0.9752,0.6645,0.0014,0.0,0.069,0.0417,0.0417,0.0072,0.0137,0.0125,0.0,0.0,reg oper account,block of flats,0.0104,"Stone, brick",No,0.0,0.0,0.0,0.0,-284.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
166530,0,Cash loans,M,N,Y,3,157500.0,273636.0,18283.5,247500.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.031329,-10861,-1691,-645.0,-3422,,1,1,0,1,0,0,Security staff,5.0,2,2,WEDNESDAY,9,0,0,0,1,1,0,Security,,0.4925565216866986,0.3791004853998145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1178.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
343900,0,Cash loans,F,Y,N,0,112500.0,654498.0,27729.0,585000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.026392,-22029,365243,-8575.0,-3932,1.0,1,0,0,1,0,0,,2.0,2,2,TUESDAY,18,0,0,0,0,0,0,XNA,,0.7048158809055612,0.524496446363472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-373.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
358564,0,Cash loans,F,N,N,0,180000.0,1288350.0,37669.5,1125000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.016612,-15181,-580,-7378.0,-4570,,1,1,1,1,1,0,Sales staff,2.0,2,2,SATURDAY,11,0,0,0,0,0,0,Business Entity Type 3,0.6675532267032781,0.5717482712305131,0.6894791426446275,0.2052,0.1301,0.9896,0.8572,0.0953,0.2,0.1724,0.375,0.4167,0.1443,0.1673,0.2427,0.0,0.0,0.209,0.135,0.9896,0.8628,0.0962,0.2014,0.1724,0.375,0.4167,0.1476,0.1827,0.2529,0.0,0.0,0.2071,0.1301,0.9896,0.8591,0.0959,0.2,0.1724,0.375,0.4167,0.1468,0.1702,0.2471,0.0,0.0,reg oper account,block of flats,0.243,Panel,No,4.0,0.0,4.0,0.0,-1275.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
232310,0,Cash loans,F,N,Y,0,207000.0,512446.5,40617.0,463500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,0.002134,-16411,-815,-10125.0,-4254,,1,1,0,1,0,0,,1.0,3,3,MONDAY,11,0,0,0,0,0,0,Business Entity Type 3,,0.3832267046731523,0.1940678276718812,0.0619,0.0972,0.9821,0.7552,,0.0,0.1379,0.1667,0.0417,0.0,0.0488,0.0652,0.0077,0.0132,0.063,0.1009,0.9821,0.7648,,0.0,0.1379,0.1667,0.0417,0.0,0.0533,0.0679,0.0078,0.014,0.0625,0.0972,0.9821,0.7585,,0.0,0.1379,0.1667,0.0417,0.0,0.0496,0.0664,0.0078,0.0135,reg oper account,block of flats,0.0513,"Stone, brick",No,0.0,0.0,0.0,0.0,-636.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0
347828,0,Cash loans,F,N,Y,0,90000.0,199467.0,8253.0,166500.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.010006,-9503,-584,-351.0,-2180,,1,1,0,1,0,0,Sales staff,2.0,2,2,THURSDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.3136733550449517,0.4955902131335738,0.6577838002083306,0.0206,0.0708,0.9806,0.7348,,0.0,0.1379,0.1667,0.2083,0.0208,0.0134,0.041,0.0154,0.039,0.021,0.0735,0.9806,0.7452,,0.0,0.1379,0.1667,0.2083,0.0212,0.0147,0.0428,0.0156,0.0413,0.0208,0.0708,0.9806,0.7383,,0.0,0.1379,0.1667,0.2083,0.0211,0.0137,0.0418,0.0155,0.0399,reg oper account,block of flats,0.046,Block,No,0.0,0.0,0.0,0.0,-544.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
402031,0,Cash loans,F,Y,N,2,180000.0,298512.0,16798.5,270000.0,Unaccompanied,Working,Incomplete higher,Married,House / apartment,0.031329,-13190,-3457,-6785.0,-5711,5.0,1,1,1,1,1,0,Managers,4.0,2,2,THURSDAY,12,0,0,0,0,0,0,Kindergarten,0.8737226206008241,0.3378474040248485,0.4884551844437485,0.2629,,0.9886,,,0.32,0.2414,0.4583,,,,0.3015,,0.0,0.2679,,0.9886,,,0.3222,0.2414,0.4583,,,,0.3141,,0.0,0.2654,,0.9886,,,0.32,0.2414,0.4583,,,,0.3069,,0.0,,block of flats,0.2371,,No,3.0,1.0,3.0,0.0,-2119.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,1.0,0.0
213820,0,Cash loans,F,Y,N,0,202500.0,1560726.0,43047.0,1395000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.005144,-19353,-3103,-4448.0,-2513,4.0,1,1,0,1,1,0,Accountants,2.0,2,2,SUNDAY,10,0,0,0,0,0,0,Self-employed,0.2192033452651028,0.4474520339779709,0.3441550073724169,0.1237,0.1309,0.9806,0.7348,0.0161,0.0,0.2759,0.1667,0.2083,0.2146,0.1009,0.115,0.0,0.0,0.1261,0.1358,0.9806,0.7452,0.0163,0.0,0.2759,0.1667,0.2083,0.2195,0.1102,0.1198,0.0,0.0,0.1249,0.1309,0.9806,0.7383,0.0162,0.0,0.2759,0.1667,0.2083,0.2183,0.1026,0.117,0.0,0.0,org spec account,block of flats,0.0992,Panel,No,0.0,0.0,0.0,0.0,-1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
323915,0,Cash loans,M,N,Y,0,180000.0,1494436.5,57051.0,1395000.0,Unaccompanied,Working,Incomplete higher,Civil marriage,Office apartment,0.020246,-9012,-338,-8491.0,-1685,,1,1,0,1,0,0,Sales staff,2.0,3,3,TUESDAY,10,0,0,0,0,0,0,Business Entity Type 3,,0.2359518107522039,0.5190973382084597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,0.0,-286.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
181267,0,Cash loans,F,Y,Y,2,112500.0,345510.0,17770.5,247500.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.0060079999999999,-13217,-272,-5509.0,-2422,2.0,1,1,0,1,0,1,Sales staff,4.0,2,2,MONDAY,11,0,0,0,0,1,1,Business Entity Type 3,,0.6755898284474264,0.248535557339522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
358391,0,Cash loans,M,N,Y,0,128250.0,98910.0,8059.5,90000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-17177,-752,-5713.0,-701,,1,1,1,1,0,1,Laborers,2.0,2,2,TUESDAY,12,0,0,0,0,0,0,Self-employed,0.6949825730292554,0.5776115932940383,0.2851799046358216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-2648.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
161969,0,Cash loans,M,N,Y,0,135000.0,675000.0,18562.5,675000.0,Unaccompanied,Commercial associate,Incomplete higher,Civil marriage,House / apartment,0.072508,-8158,-268,-8048.0,-846,,1,1,1,1,1,0,Laborers,2.0,1,1,MONDAY,15,0,0,0,0,0,0,Trade: type 2,0.5928674287087775,0.6670983771437647,0.3556387169923543,0.133,0.049,0.9836,0.7756,0.0509,0.08,0.0345,0.625,0.6667,0.0,0.1051,0.1132,0.0154,0.0198,0.1355,0.0509,0.9836,0.7844,0.0514,0.0806,0.0345,0.625,0.6667,0.0,0.1148,0.1179,0.0156,0.0209,0.1343,0.049,0.9836,0.7786,0.0512,0.08,0.0345,0.625,0.6667,0.0,0.1069,0.1152,0.0155,0.0202,reg oper account,block of flats,0.1212,Others,No,1.0,0.0,1.0,0.0,-247.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
106137,0,Cash loans,F,N,N,0,67500.0,783000.0,23022.0,783000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0145199999999999,-13544,-1467,-5024.0,-5054,,1,1,0,1,0,0,,2.0,2,2,THURSDAY,12,0,0,0,0,0,0,Business Entity Type 3,0.5837301114759115,0.4056874505202676,0.4170996682522097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,-1521.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
315320,0,Cash loans,F,Y,Y,0,270000.0,572292.0,20686.5,472500.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0060079999999999,-23465,-1602,-2745.0,-1769,9.0,1,1,0,1,0,0,Security staff,2.0,2,2,TUESDAY,11,0,0,0,0,0,0,Business Entity Type 3,0.7634580735271438,0.7212780495706792,0.7001838506835805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1135.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
295388,1,Cash loans,F,Y,Y,0,135000.0,509400.0,40374.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-10931,-1844,-398.0,-743,12.0,1,1,0,1,0,0,Core staff,2.0,2,2,THURSDAY,10,0,0,0,0,0,0,Trade: type 7,0.3334235470365963,0.3229677590207252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-268.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
290388,0,Cash loans,F,N,N,3,171000.0,1724688.0,59949.0,1575000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0035409999999999,-13692,-3505,-375.0,-346,,1,1,1,1,1,0,High skill tech staff,5.0,1,1,MONDAY,7,0,0,0,0,0,0,Industry: type 9,0.4018405228008499,0.1630318139841917,0.4436153084085652,0.0577,0.0845,0.9876,0.83,0.0117,0.0,0.1724,0.1667,0.2083,0.0546,0.0471,0.0744,0.0,0.0,0.0588,0.0877,0.9876,0.8367,0.0118,0.0,0.1724,0.1667,0.2083,0.0558,0.0514,0.0775,0.0,0.0,0.0583,0.0845,0.9876,0.8323,0.0118,0.0,0.1724,0.1667,0.2083,0.0555,0.0479,0.0757,0.0,0.0,reg oper account,block of flats,0.0649,Panel,No,3.0,0.0,3.0,0.0,-764.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0
450793,0,Cash loans,F,N,N,0,135000.0,315000.0,15151.5,315000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.010556,-22680,365243,-7240.0,-4224,,1,0,0,1,0,0,,1.0,3,3,WEDNESDAY,15,0,0,0,0,0,0,XNA,,0.2415756027915724,0.4920600938649263,0.0371,0.0355,0.9806,0.7348,0.0045,0.0,0.069,0.1667,0.2083,0.0387,0.0303,0.0201,0.0,0.0,0.0378,0.0368,0.9806,0.7452,0.0046,0.0,0.069,0.1667,0.2083,0.0396,0.0331,0.021,0.0,0.0,0.0375,0.0355,0.9806,0.7383,0.0046,0.0,0.069,0.1667,0.2083,0.0394,0.0308,0.0205,0.0,0.0,reg oper account,block of flats,0.0292,"Stone, brick",No,0.0,0.0,0.0,0.0,-2443.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
269541,0,Cash loans,F,N,N,0,90000.0,900000.0,38263.5,900000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.010966,-20925,365243,-12419.0,-4473,,1,0,0,1,0,0,,2.0,2,2,TUESDAY,10,0,0,0,0,0,0,XNA,,0.5733538073665714,0.3392876999089139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1610.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
261308,0,Cash loans,M,Y,Y,0,225000.0,472500.0,56074.5,472500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,With parents,0.010006,-20366,-3450,-4010.0,-3910,3.0,1,1,1,1,1,0,Laborers,1.0,2,2,MONDAY,8,0,0,0,0,0,0,Construction,,0.5732468193175299,0.3572932680336494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,0.0,-2527.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
289335,0,Cash loans,F,N,Y,0,112500.0,269550.0,12001.5,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.010643,-23018,365243,-1424.0,-4623,,1,0,0,1,0,0,,1.0,2,2,THURSDAY,14,0,0,0,0,0,0,XNA,,0.4333601870076553,0.722392890081304,0.0773,0.0586,0.9781,0.7008,0.0114,0.0,0.1724,0.1667,0.2083,0.0772,0.063,0.0616,0.0,0.0,0.0788,0.0608,0.9782,0.7125,0.0115,0.0,0.1724,0.1667,0.2083,0.079,0.0689,0.0642,0.0,0.0,0.0781,0.0586,0.9781,0.7048,0.0114,0.0,0.1724,0.1667,0.2083,0.0786,0.0641,0.0627,0.0,0.0,reg oper account,block of flats,0.0546,Panel,No,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
191641,0,Revolving loans,F,N,Y,1,112500.0,180000.0,9000.0,180000.0,Unaccompanied,Commercial associate,Incomplete higher,Civil marriage,House / apartment,0.016612,-14319,-632,-622.0,-622,,1,1,0,1,0,0,,3.0,2,2,THURSDAY,17,0,0,0,0,0,0,Business Entity Type 1,,0.6114756584612108,0.5971924268337128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-453.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
217032,0,Cash loans,F,Y,Y,0,112500.0,792162.0,38241.0,630000.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.035792,-14871,-2327,-3434.0,-3249,21.0,1,1,0,1,0,0,Private service staff,2.0,2,2,THURSDAY,12,0,0,0,0,0,0,Business Entity Type 3,,0.5414331914655945,0.3185955240537633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2128.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0
187097,1,Cash loans,F,N,N,1,225000.0,284400.0,22599.0,225000.0,Unaccompanied,Working,Higher education,Separated,House / apartment,0.003813,-20171,-2015,-5431.0,-3686,,1,1,0,1,0,0,,2.0,2,2,TUESDAY,13,0,0,0,0,0,0,Business Entity Type 3,0.5791415189066937,0.5351070917109573,,0.0309,0.0,0.9901,0.8640000000000001,0.0046,0.0,0.1034,0.0833,0.0417,0.0252,0.0252,0.0351,0.0,0.0,0.0315,0.0,0.9901,0.8693,0.0046,0.0,0.1034,0.0833,0.0417,0.0257,0.0275,0.0366,0.0,0.0,0.0312,0.0,0.9901,0.8658,0.0046,0.0,0.1034,0.0833,0.0417,0.0256,0.0257,0.0357,0.0,0.0,reg oper account,block of flats,0.0297,"Stone, brick",No,0.0,0.0,0.0,0.0,-2131.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
300286,0,Revolving loans,F,N,Y,1,126000.0,180000.0,9000.0,180000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.010032,-14758,-1266,-3775.0,-2768,,1,1,0,1,0,0,Laborers,3.0,2,2,THURSDAY,7,0,0,0,0,0,0,Military,,0.6477969824016335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-621.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
